about,about_specific,for_children,name,plus_code,house_number,street,area,postal_code,city,location_lat,location_lng,long_name,phone_number,website,url,plus_code,place_id,rating,price_level,vicinity,wheelchair_accessible_entrance,cuisine
art,art,0,Kunstmuseum,Q5HH+82 Stuttgart,1,Kleiner Schloßplatz,Stuttgart-Mitte,70173,Stuttgart,48.7783294,9.1775786,Kunstmuseum Stuttgart,+49 711 21619600,https://www.kunstmuseum-stuttgart.de/,https://maps.google.com/?cid=4917880019491879330,8FWFQ5HH+82,ChIJy3mewTXbmUcRovnNWdLRP0Q,4.4,,"Kleiner Schloßplatz 1, Stuttgart",True,
ethnology,ethnology,0,Linden-Museum,Q5M9+3X Stuttgart,1,Hegelpl.,Stuttgart-Mitte,70174,Stuttgart,48.7827449,9.1699941,Linden Museum,+49 711 20223,https://www.lindenmuseum.de/,https://maps.google.com/?cid=5660316349639155952,8FWFQ5M9+3X,ChIJ6zPNHzrbmUcR8OCT-Lp7jU4,4.4,,"Hegelplatz 1, Stuttgart",True,
history,history,0,Landesmuseum Württemberg,Q5GH+WV Stuttgart,6,Schillerpl.,Stuttgart-Mitte,70173,Stuttgart,48.7773476,9.179635,History Museum Württemberg,+49 711 89535111,https://www.landesmuseum-stuttgart.de/,https://maps.google.com/?cid=16572996511533812224,8FWFQ5GH+WV,ChIJRahndzXbmUcRAMrCDYUc_-U,4.5,,"Altes Schloss, Schillerplatz 6, Stuttgart",True,
history,history,0,StadtPalais,Q5GM+CM Stuttgart,2,Konrad-Adenauer-Straße,Stuttgart-Mitte,70173,Stuttgart,48.77602520000001,9.1841978,Wilhelm Palais,+49 711 21625800,http://www.stadtpalais-stuttgart.de/,https://maps.google.com/?cid=2505336372341939489,8FWFQ5GM+CM,ChIJS27UYLXEmUcRIZ1OJCi-xCI,4.5,,"Konrad-Adenauer-Straße 2, Stuttgart",True,
technology,cars,0,Mercedes-Benz Museum,Q6QM+8F Stuttgart,100,Mercedesstraße,Bad Cannstatt,70372,Stuttgart,48.7883399,9.2336743,Mercedes-Benz Museum,+49 711 1730000,https://www.mercedes-benz.com/museum,https://maps.google.com/?cid=13936095416089791380,8FWFQ6QM+8F,ChIJkd8d2v7EmUcRlEv7v_H0ZsE,4.8,,"Mercedesstraße 100, Stuttgart",True,
art,modern art,1,Museum der Illusionen,Q5RM+2F Stuttgart,27,Mailänder Platz,Stuttgart-Mitte,70173,Stuttgart,48.7900325,9.1836826,Museum der Illusionen Stuttgart,+49 711 56618546,http://stuttgart.museumderillusionen.de/,https://maps.google.com/?cid=10548429635019662655,8FWFQ5RM+2F,ChIJz3SHJLvbmUcRP-WMdd2MY5I,4.1,,"Mailänder Platz 27, Stuttgart",True,
art,art,0,Staatsgalerie,Q5JP+2J Stuttgart,30-32,Konrad-Adenauer-Straße,Stuttgart-Mitte,70173,Stuttgart,48.7801002,9.1865854,Staatsgalerie Stuttgart,+49 711 470400,https://www.staatsgalerie.de/,https://maps.google.com/?cid=6894434549702281557,8FWFQ5JP+2J,ChIJ1Q2AB8vEmUcRVUkv1rHzrV8,4.6,,"Konrad-Adenauer-Straße 30-32, Stuttgart",True,
history,natural history,1,Naturkundemuseum am Löwentor,R54R+42 Stuttgart,1-3,Rosenstein,Bad Cannstatt,70191,Stuttgart,48.80533330000001,9.1900769,State Museum of Natural History Stuttgart,+49 711 89360,http://www.naturkundemuseum-bw.de/,https://maps.google.com/?cid=18218260456756722009,8FWFR54R+42,ChIJhbNSvtLamUcRWbmHZlxD1Pw,4.5,,"Rosenstein 1-3, Stuttgart",True,
technology,cars,0,Porsche Museum,R5M3+M2 Stuttgart,1,Porscheplatz,Zuffenhausen,70435,Stuttgart,48.8342104,9.152554499999999,Porsche Museum,+49 711 91120911,https://www.porsche.com/germany/aboutporsche/porschemuseum/,https://maps.google.com/?cid=4359595003385706887,8FWFR5M3+M2,ChIJ4dnOMofamUcRh3lftY5kgDw,4.7,4.0,"Porscheplatz 1, Stuttgart",True,
history,national history,0,Haus der Geschichte,Q5HP+G9 Stuttgart,16,Konrad-Adenauer-Straße,Stuttgart-Mitte,70173,Stuttgart,48.7788068,9.185947799999997,Haus der Geschichte Baden-Württemberg,+49 711 2123989,https://www.hdgbw.de/,https://maps.google.com/?cid=4723069206747432013,8FWFQ5HP+G9,ChIJDZ4BHcvEmUcRTUTEbWu2i0E,4.4,,"Konrad-Adenauer-Straße 16, Stuttgart",True,
history,natural history,1,Naturkundemuseum Schloss Rosenstein,R624+6C Stuttgart,1,Rosenstein,Bad Cannstatt,70191,Stuttgart,48.8005564,9.2060188,"Naturkundemuseum Stuttgart, Schloss Rosenstein",+49 711 89360,http://www.naturkundemuseum-bw.de/,https://maps.google.com/?cid=1986487155692443077,8FWFR624+6C,ChIJiabU0yXFmUcRxZXsEYtrkRs,4.5,,"Rosenstein 1, Stuttgart",True,
history,natural history,1,Kindermuseum Junges Schloss,Q5GH+RJ Stuttgart,6,Schillerpl.,Stuttgart-Mitte,70173,Stuttgart,48.7770241,9.1790708,Children's Museum Young Castle,+49 711 89535111,https://www.junges-schloss.de/,https://maps.google.com/?cid=15608561578450052692,8FWFQ5GH+RJ,ChIJRahndzXbmUcRVGZT0g7AnNg,4.4,,"Schillerplatz 6, Stuttgart",True,
pigs,pigs,1,Schweinemuseum,Q6P9+8X Stuttgart,2A,Schlachthofstraße,Stuttgart Ost,70188,Stuttgart,48.78580749999999,9.219992,SchweineMuseum Stuttgart,+49 711 66419600,https://www.schweinemuseum.de/,https://maps.google.com/?cid=734274437639428925,8FWFQ6P9+8X,ChIJzWktseXEmUcRPdsl77WqMAo,4.2,,"Schlachthofstraße 2A, Stuttgart",,
technology,public transport,1,Straßenbahnmuseum,Q6X9+MG Stuttgart,3,Veielbrunnenweg,Bad Cannstatt,70372,Stuttgart,48.79912770000001,9.218861700000001,World of Trams Stuttgart,+49 711 78857770,http://www.strassenbahnmuseum.com/,https://maps.google.com/?cid=5710772333958922689,8FWFQ6X9+MG,ChIJ4eQ51BjFmUcRwQHARi69QE8,4.6,,"Veielbrunnenweg 3, Stuttgart",True,
society,police,0,Polizeimuseum,R56Q+22 Stuttgart,1,Hahnemannstraße,Bad Cannstatt,70191,Stuttgart,48.8100998,9.187601999999998,Polizeimuseum Stuttgart,+49 711 12557065,http://www.polizeimuseum-stuttgart.de/,https://maps.google.com/?cid=14896987692517232646,8FWFR56Q+22,ChIJKeAaoc7amUcRBhDb82C7vM4,4.7,,"Hahnemannstraße 1, Stuttgart",True,
cosmology,cosmology,1,Planetarium,Q5MP+8Q Stuttgart,25,Willy-Brandt-Straße,Stuttgart-Mitte,70173,Stuttgart,48.78332,9.186880000000002,Carl-Zeiss Planetarium Stuttgart,+49 711 21689015,http://www.planetarium-stuttgart.de/,https://maps.google.com/?cid=9682985412220016452,8FWFQ5MP+8Q,ChIJ_aPR-czEmUcRRNepBO7fYIY,4.3,,"Willy-Brandt-Straße 25, Stuttgart",True,
history,agricultural history,0,Landwirtschaftsmuseum,P57X+3C Stuttgart,179,Filderhauptstraße,Plieningen,70599,Stuttgart,48.7127393,9.198600299999999,German Agricultural Museum,+49 711 45922146,http://www.dlm-hohenheim.de/,https://maps.google.com/?cid=12185898847673096448,8FWFP57X+3C,ChIJU7iVOv3CmUcRAJllNHACHak,4.5,,"Filderhauptstraße 179, Stuttgart",True,
history,wine history,0,Weinbaumuseum,Q7GH+HM Stuttgart,4,Uhlbacher Pl.,Obertürkheim,70329,Stuttgart,48.7763975,9.2791495,Weinbaumuseum Stuttgart,+49 711 325718,http://www.weinbaumuseum.de/,https://maps.google.com/?cid=5836078256118844657,8FWFQ7GH+HM,ChIJc7azfSbEmUcR8UxYyUDq_VA,4.4,,"Uhlbacher Platz 4, Stuttgart",True,
technology,computers,0,Computermuseum,P4W4+3G Stuttgart,38,Universitätsstraße,Vaihingen,70569,Stuttgart,48.74519540000001,9.1062951,Computermuseum der Stuttgarter Informatik,+49 711 68588415,http://computermuseum.informatik.uni-stuttgart.de/,https://maps.google.com/?cid=16406233273236382681,8FWFP4W4+3G,ChIJHUp_k2jcmUcR2eNy8TymruM,5.0,,"Universitätsstraße 38/Raum 0.148, Stuttgart",True,
