Stadtteil,Postleitzahl
Asemwald,70599
Bad Cannstatt,70191
Bad Cannstatt,70372
Bad Cannstatt,70374
Bad Cannstatt,70376
Bad Cannstatt,70378
Bergheim,70499
Birkach,70599
Botnang,70195
Burgholzhof,70376
Büsnau,70569
Chausseefeld,70599
Degerloch,70597
Dürrlewang,70565
Fasanenhof,70565
Feuerbach,70192
Feuerbach,70469
Feuerbach,70499
Flughafen,70629
Frauenkopf,70184
Freiberg,70437
Giebel,70499
Hausen,70499
Hedelfingen,70327
Hedelfingen,70329
Heumaden,70619
Hofen,70378
Hoffeld,70597
Hohenheim,70599
Kaltental,70569
Kaltental,70597
Lederberg,70619
Luginsland,70327
Möhringen,70565
Möhringen,70567
Möhringen,70597
Mönchfeld,70378
Mönchfeld,70437
Mühlhausen,70378
Münster,70376
Neugereut,70378
Neuwirtshaus,70439
Obertürkheim,70329
Plieningen,70599
Riedenberg,70619
Rohr,70565
Rohracker,70329
Rot,70437
Rotenberg,70327
Schönberg,70599
Sillenbuch,70619
Sommerrain,70374
Sonnenberg,70597
Stammheim,70435
Stammheim,70439
Steckfeld,70599
Steinhaldenfeld,70378
Stuttgart-Mitte,70173
Stuttgart-Mitte,70174
Stuttgart-Mitte,70176
Stuttgart-Mitte,70178
Stuttgart-Mitte,70180
Stuttgart-Mitte,70182
Stuttgart-Mitte,70184
Stuttgart-Mitte,70188
Stuttgart-Mitte,70190
Stuttgart-Nord,70174
Stuttgart-Nord,70191
Stuttgart-Nord,70192
Stuttgart-Nord,70193
Stuttgart-Ost,70184
Stuttgart-Ost,70186
Stuttgart-Ost,70188
Stuttgart-Ost,70190
Stuttgart-Ost,70327
Stuttgart-Süd,70178
Stuttgart-Süd,70180
Stuttgart-Süd,70184
Stuttgart-Süd,70199
Stuttgart-West,70174
Stuttgart-West,70176
Stuttgart-West,70178
Stuttgart-West,70193
Stuttgart-West,70197
Uhlbach,70327,70329
Untertürkheim,70327
Vaihingen,70563
Vaihingen,70565
Vaihingen,70569
Wangen,70327
Weilimdorf,70499
Weilimdorf-Nord,70499
Wolfbusch,70499
Zazenhausen,70437
Zuffenhausen,70376
Zuffenhausen,70435
Zuffenhausen,70437
Zuffenhausen,70439
Zuffenhausen,70469